job,marital,h_loan,p_loan,month,day_of_week,poutcome
housemaid,married,no,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
services,married,no,yes,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
services,single,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
services,single,yes,no,may,mon,nonexistent
blue-collar,single,no,yes,may,mon,nonexistent
housemaid,divorced,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
retired,married,yes,yes,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
blue-collar,married,yes,yes,may,mon,nonexistent
management,single,no,no,may,mon,nonexistent
unemployed,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
retired,single,yes,no,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
technician,married,no,yes,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
self-employed,married,no,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
management,married,yes,no,may,mon,nonexistent
blue-collar,divorced,no,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
services,married,no,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
management,unknown,yes,no,may,mon,nonexistent
entrepreneur,married,yes,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
admin.,married,no,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
technician,single,no,no,may,mon,nonexistent
admin.,married,yes,yes,may,mon,nonexistent
blue-collar,married,no,yes,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
housemaid,married,no,yes,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
admin.,single,no,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
technician,married,yes,no,may,mon,nonexistent
management,married,no,yes,may,mon,nonexistent
services,married,yes,no,may,mon,nonexistent
unemployed,married,yes,yes,may,mon,nonexistent
technician,single,yes,no,may,mon,nonexistent
entrepreneur,married,no,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,yes,no,may,mon,nonexistent
blue-collar,married,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
admin.,married,no,no,may,mon,nonexistent
blue-collar,single,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
blue-collar,single,yes,yes,may,mon,nonexistent
management,married,no,no,may,mon,nonexistent
management,divorced,yes,no,may,mon,nonexistent
admin.,married,yes,no,may,mon,nonexistent
